,entry,country,area,date,number,position,year,month,day
142,142,嘉義縣,民雄鄉,1993/4/26,0.5,嘉義縣民雄鄉,1993,4,26
143,143,屏東縣,萬丹鄉,1993/4/27,3.0,屏東縣萬丹鄉,1993,4,27
144,144,南投縣,名間鄉,1993/4/27,0.0,南投縣名間鄉,1993,4,27
145,145,花蓮縣,富里鄉,1993/4/29,4.3,花蓮縣富里鄉,1993,4,29
146,146,花蓮縣,玉里鎮,1993/4/29,0.54,花蓮縣玉里鎮,1993,4,29
147,147,屏東縣,萬丹鄉,2008/5/1,5.0,屏東縣萬丹鄉,2008,5,1
148,148,嘉義縣,太保市,2008/5/1,3.65,嘉義縣太保市,2008,5,1
149,149,高雄市,美濃區,2008/5/1,0.714285712,高雄市美濃區,2008,5,1
150,150,彰化縣,二林鎮,2008/5/1,0.25,彰化縣二林鎮,2008,5,1
151,151,桃園市,龍潭區,2008/5/1,0.1,桃園市龍潭區,2008,5,1
152,152,南投縣,草屯鎮,2009/5/1,11.16161616,南投縣草屯鎮,2009,5,1
153,153,臺中市,霧峰區,2009/5/1,10.0,臺中市霧峰區,2009,5,1
154,154,臺中市,大肚區,2009/5/1,5.416666667,臺中市大肚區,2009,5,1
155,155,臺中市,烏日區,2009/5/1,5.0,臺中市烏日區,2009,5,1
156,156,桃園市,龍潭區,2009/5/1,1.5,桃園市龍潭區,2009,5,1
157,157,臺中市,龍井區,2009/5/1,0.625,臺中市龍井區,2009,5,1
158,158,臺中市,梧棲區,2009/5/1,0.41666666700000005,臺中市梧棲區,2009,5,1
159,159,臺南市,六甲區,2012/5/1,24.11764706,臺南市六甲區,2012,5,1
160,160,雲林縣,大埤鄉,2012/5/1,24.08695652,雲林縣大埤鄉,2012,5,1
161,161,臺南市,白河區,2012/5/1,22.75,臺南市白河區,2012,5,1
162,162,臺南市,後壁區,2012/5/1,22.75,臺南市後壁區,2012,5,1
163,163,嘉義縣,鹿草鄉,2012/5/1,22.69230769,嘉義縣鹿草鄉,2012,5,1
164,164,雲林縣,斗南鎮,2012/5/1,19.69230769,雲林縣斗南鎮,2012,5,1
165,165,桃園市,龍潭區,1993/6/1,0.5,桃園市龍潭區,1993,6,1
166,166,苗栗縣,銅鑼鄉,1993/6/9,3.0,苗栗縣銅鑼鄉,1993,6,9
167,167,苗栗縣,三義鄉,1993/6/9,3.0,苗栗縣三義鄉,1993,6,9
168,168,花蓮縣,玉里鎮,1993/6/11,2.3,花蓮縣玉里鎮,1993,6,11
169,169,花蓮縣,富里鄉,1993/6/11,1.96,花蓮縣富里鄉,1993,6,11
170,170,屏東縣,萬丹鄉,1993/6/14,2.0,屏東縣萬丹鄉,1993,6,14
171,171,桃園市,龍潭區,1993/6/16,0.0,桃園市龍潭區,1993,6,16
172,172,南投縣,名間鄉,1993/6/16,0.0,南投縣名間鄉,1993,6,16
173,173,台東縣,池上鄉,1993/6/18,2.6,台東縣池上鄉,1993,6,18
174,174,台東縣,關山鎮,1993/6/18,2.3,台東縣關山鎮,1993,6,18
175,175,台東縣,鹿野鄉,1993/6/18,1.9,台東縣鹿野鄉,1993,6,18
176,176,南投縣,名間鄉,1993/6/23,0.2,南投縣名間鄉,1993,6,23
177,177,屏東縣,萬丹鄉,1993/6/24,0.0,屏東縣萬丹鄉,1993,6,24
178,178,台東縣,池上鄉,1993/6/29,20.0,台東縣池上鄉,1993,6,29
179,179,台東縣,關山鎮,1993/6/29,5.0,台東縣關山鎮,1993,6,29
180,180,嘉義縣,民雄鄉,1993/6/29,3.5,嘉義縣民雄鄉,1993,6,29
181,181,台東縣,鹿野鄉,1993/6/29,0.0,台東縣鹿野鄉,1993,6,29
182,182,桃園市,龍潭區,1993/7/1,0.0,桃園市龍潭區,1993,7,1
183,183,屏東縣,萬丹鄉,1993/7/15,3.0,屏東縣萬丹鄉,1993,7,15
184,184,桃園市,龍潭區,1993/7/16,0.0,桃園市龍潭區,1993,7,16
185,185,屏東縣,萬丹鄉,1993/7/29,4.0,屏東縣萬丹鄉,1993,7,29
186,186,桃園市,龍潭區,1993/8/3,0.0,桃園市龍潭區,1993,8,3
187,187,南投縣,名間鄉,1993/8/10,0.0,南投縣名間鄉,1993,8,10
188,188,桃園市,龍潭區,1993/8/16,0.0,桃園市龍潭區,1993,8,16
189,189,南投縣,名間鄉,1993/8/24,0.0,南投縣名間鄉,1993,8,24
190,190,南投縣,名間鄉,1993/9/15,0.0,南投縣名間鄉,1993,9,15
191,191,南投縣,名間鄉,1993/9/30,0.0,南投縣名間鄉,1993,9,30
192,192,桃園市,龍潭區,1993/10/1,0.0,桃園市龍潭區,1993,10,1
193,193,台東縣,鹿野鄉,1993/10/11,3.5,台東縣鹿野鄉,1993,10,11
194,194,台東縣,關山鎮,1993/10/11,1.5,台東縣關山鎮,1993,10,11
195,195,南投縣,名間鄉,1993/10/14,0.0,南投縣名間鄉,1993,10,14
196,196,桃園市,龍潭區,1993/10/16,0.0,桃園市龍潭區,1993,10,16
197,197,桃園市,龍潭區,1993/11/1,0.0,桃園市龍潭區,1993,11,1
198,198,桃園市,龍潭區,1993/11/16,0.0,桃園市龍潭區,1993,11,16
199,199,桃園市,龍潭區,1993/12/1,0.0,桃園市龍潭區,1993,12,1
200,200,桃園市,龍潭區,1993/12/21,0.0,桃園市龍潭區,1993,12,21
201,201,桃園市,龍潭區,1993/12/31,0.0,桃園市龍潭區,1993,12,31
202,202,桃園市,龍潭區,1994/2/1,0.0,桃園市龍潭區,1994,2,1
203,203,桃園市,龍潭區,1994/2/16,0.0,桃園市龍潭區,1994,2,16
204,204,桃園市,龍潭區,1994/2/28,0.0,桃園市龍潭區,1994,2,28
205,205,屏東縣,萬丹鄉,1994/3/2,3.0,屏東縣萬丹鄉,1994,3,2
206,206,嘉義縣,民雄鄉,1994/3/8,2.9,嘉義縣民雄鄉,1994,3,8
207,207,南投縣,名間鄉,1994/3/8,0.0,南投縣名間鄉,1994,3,8
208,208,桃園市,龍潭區,1994/3/15,0.0,桃園市龍潭區,1994,3,15
209,209,嘉義縣,民雄鄉,1994/3/17,3.0,嘉義縣民雄鄉,1994,3,17
210,210,屏東縣,萬丹鄉,1994/3/17,0.0,屏東縣萬丹鄉,1994,3,17
211,211,花蓮縣,富里鄉,1994/3/25,0.1,花蓮縣富里鄉,1994,3,25
212,212,花蓮縣,玉里鎮,1994/3/25,0.04,花蓮縣玉里鎮,1994,3,25
213,213,南投縣,名間鄉,1994/3/28,0.0,南投縣名間鄉,1994,3,28
214,214,嘉義縣,民雄鄉,1994/3/29,3.7,嘉義縣民雄鄉,1994,3,29
215,215,台東縣,池上鄉,1994/3/30,7.5,台東縣池上鄉,1994,3,30
216,216,台東縣,關山鎮,1994/3/30,7.5,台東縣關山鎮,1994,3,30
217,217,屏東縣,萬丹鄉,1994/3/30,4.0,屏東縣萬丹鄉,1994,3,30
